logging to data/NCC_original_sampling_r_N5-10_T1.0_eps0.01_2026-03-10_23-03-10.log
[2026-03-10 23:03:10] starting N=5 T=1.0 eps=0.01
[repeat 1/10] eval r=1: sample_error=5.037686e+01, bias=4.817370e+01, fluct=1.099496e+01
[repeat 1/10] eval r=2: sample_error=7.261188e+01, bias=3.707258e+01, fluct=6.170136e+01
[repeat 1/10] eval r=4: sample_error=3.804841e+01, bias=2.484392e+00, fluct=3.810426e+01
[repeat 1/10] eval r=8: sample_error=5.628055e-01, bias=1.422313e-01, fluct=5.544120e-01
[repeat 1/10] eval r=16: sample_error=4.469686e-02, bias=1.456939e-02, fluct=4.319251e-02
[repeat 1/10] eval r=32: sample_error=1.274890e-02, bias=1.731661e-03, fluct=1.249942e-02
[repeat 1/10] eval r=64: sample_error=3.526654e-03, bias=2.137664e-04, fluct=3.521342e-03
[repeat 1/10] eval r=48: sample_error=6.271386e-03, bias=5.083440e-04, fluct=6.306939e-03
[repeat 1/10] eval r=40: sample_error=7.630941e-03, bias=8.812868e-04, fluct=7.583296e-03
[repeat 1/10] eval r=36: sample_error=9.436947e-03, bias=1.211935e-03, fluct=9.381395e-03
[repeat 1/10] eval r=34: sample_error=1.051876e-02, bias=1.440939e-03, fluct=1.051250e-02
[repeat 1/10] eval r=35: sample_error=1.109286e-02, bias=1.319822e-03, fluct=1.101988e-02
[repeat 1/10] eval r=24: sample_error=1.972133e-02, bias=4.158628e-03, fluct=1.940371e-02
[repeat 1/10] eval r=20: sample_error=3.079341e-02, bias=7.281246e-03, fluct=3.102513e-02
[repeat 1/10] eval r=18: sample_error=3.139061e-02, bias=1.008932e-02, fluct=3.143175e-02
[repeat 1/10] eval r=19: sample_error=3.339926e-02, bias=8.532067e-03, fluct=3.218261e-02
[repeat 1/10] sampled_r_min=36, expected_r_min=19, current mean=36.000, 95% CI=[36.000, 36.000]
[repeat 2/10] eval r=1: sample_error=4.919725e+01, bias=4.817370e+01, fluct=1.361695e+01
[repeat 2/10] eval r=2: sample_error=6.399121e+01, bias=3.707258e+01, fluct=5.557189e+01
[repeat 2/10] eval r=4: sample_error=3.954614e+01, bias=2.484392e+00, fluct=3.942058e+01
[repeat 2/10] eval r=8: sample_error=5.736041e-01, bias=1.422313e-01, fluct=5.680786e-01
[repeat 2/10] eval r=16: sample_error=4.520626e-02, bias=1.456939e-02, fluct=4.450483e-02
[repeat 2/10] eval r=32: sample_error=1.188734e-02, bias=1.731661e-03, fluct=1.183241e-02
[repeat 2/10] eval r=64: sample_error=4.095194e-03, bias=2.137664e-04, fluct=4.079383e-03
[repeat 2/10] eval r=48: sample_error=5.949626e-03, bias=5.083440e-04, fluct=5.938637e-03
[repeat 2/10] eval r=40: sample_error=8.846192e-03, bias=8.812868e-04, fluct=8.804009e-03
[repeat 2/10] eval r=36: sample_error=1.053745e-02, bias=1.211935e-03, fluct=1.047098e-02
